nome_influencer;link_youtube;link_twitch;link_discord;nome_jogo;infantil
Cellbit;https://www.youtube.com/@CellbitLives;https://www.twitch.tv/cellbit;https://discord.com/invite/cellbit;Variado;n
Core;https://www.youtube.com/coredasantigas;;;Variado;s
FEURIPE;https://www.youtube.com/@FEURIPE ;https://www.twitch.tv/feuripee;;Minecraft;s
Geleia;https://www.youtube.com/channel/UCEfGV5hx2VrXl4jOUnG0MRQ;https://www.twitch.tv/geleiaplays;;Minecraft;s
Jazzghost;https://www.youtube.com/user/jazzghost1;;;Variado;s
Julia MineGirl;https://www.youtube.com/juliaminegirl ;;;Roblox;s
Lingonz;https://www.youtube.com/@Ligonz ;https://www.twitch.tv/ligonz;;Minecraft;s
LipaoGamer;https://www.youtube.com/@LipaoGamer;;https://discord.com/invite/uRSa8qucbj;Variado;n
LipaoBlox;https://www.youtube.com/@LipaoBlox;;https://discord.com/invite/AqhFsGRN8Y;Roblox;s
Canal Clash War;https://www.youtube.com/@luanclashwar;;https://discord.com/invite/canalclashwar;Roblox;s
malena010102;https://www.youtube.com/c/malena010102;https://www.twitch.tv/malena0202;https://discord.com/invite/mQWWcvQHCt;Minecraft;s
MelzinhaMel Games;https://www.youtube.com/@MelzinhaMelGames;;;Variado;s
Mendrake;https://www.youtube.com/@Mendrake_;;;Minecraft;s
MoonKase;https://www.youtube.com/channel/UCB6p9lMfq6rczdFStOJ1eNA;https://www.twitch.tv/moonkaselive;;Minecraft;s
Nait;https://www.youtube.com/@Nait;;;Minecraft;s
PAULINHO O LOKO;https://www.youtube.com/c/DailyModder;https://www.twitch.tv/paulinholokobr;;GTA;n
Problems;https://www.youtube.com/@problemsyt/;;https://discord.com/invite/problems;Minecraft;s
Robin Hood Gamer;https://www.youtube.com/channel/UCYtaoJSk9iIrFxx8eZB15ag;https://www.twitch.tv/robinhoodgamer;;Minecraft;s
Alanzoka;https://www.youtube.com/c/alanzoka;https://www.twitch.tv/alanzoka;;Variado;n
Amy Scarlet;https://www.youtube.com/@AmyScarlet;;;Roblox;s
Bagi;https://www.youtube.com/@LivesBagi;https://www.twitch.tv/bagi;https://discord.com/invite/Bagi;Minecraft;s
Baiano;https://www.youtube.com/@BaianoTV1;https://www.twitch.tv/baiano;;LOL;n
BRKsEDU;https://www.youtube.com/user/BRKsEDU;;;Variado;n
Davi;https://www.youtube.com/c/HDDaviGamer;;;Minecraft;s
Gameplayrj;https://www.youtube.com/channel/UCJAbkIY17zAmCTNQHH0bQoQ;https://www.twitch.tv/davyjones;;Variado;n
Fallen;https://www.youtube.com/c/Fallen;https://www.twitch.tv/gafallen;;CS2;n
Games EduUu;https://www.youtube.com/channel/UCYzp8-P162Em-3uZnCuGJOg;;;Variado;n
Gaules;https://www.youtube.com/gaules;https://www.twitch.tv/gaules;https://discord.com/invite/7WChpR7XfY;CS2;n
LOUD Coringa;https://www.youtube.com/channel/UCnYjd7cPNluC7Hi9AZrBNMw;https://www.twitch.tv/loud_coringa;https://discord.com/invite/coringa;Variado;n
NOBRU;https://www.youtube.com/@NobruTV;;;Free Fire;n
Saiko;https://www.youtube.com/@kksaiko;;;Variado;n
Viniccius13;https://www.youtube.com/@viniccius13;;;Minecraft;s
blackoutz;https://www.youtube.com/user/Ondercore;https://www.twitch.tv/blackoutz;https://discord.com/invite/probuildersgg;Fortnite;n
Sacy;https://www.youtube.com/@Sacyadc;https://www.twitch.tv/sacy;https://discord.com/invite/dQEFaFpMtx;Valorant;n
Yoda;https://www.youtube.com/channel/UCuhVlANZXUATGv1dRmwcUzA;https://www.twitch.tv/yoda/;;LOL;n
wastzera;https://www.youtube.com/c/wastzera;https://www.twitch.tv/wastzera;https://discord.com/invite/kZQENQxZny;CS2;n
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
